order_item_id,order_id,product_id,category,amount
I00000075,O0000038,P0003,家电,52
I00000076,O0000038,P0022,其他行业,31
I00000077,O0000039,P0006,家电,41
I00000078,O0000039,P0014,其他行业,46
I00000079,O0000040,P0008,家电,35
I00000080,O0000040,P0013,其他行业,46
I00000081,O0000041,P0003,家电,36
I00000082,O0000041,P0023,其他行业,57
I00000083,O0000042,P0004,家电,65
I00000084,O0000042,P0014,其他行业,51
I00000085,O0000043,P0006,家电,45
I00000086,O0000043,P0021,其他行业,27
I00000087,O0000044,P0001,家电,57
I00000088,O0000044,P0016,其他行业,32
I00000089,O0000045,P0009,家电,42
I00000090,O0000045,P0022,其他行业,32
I00000091,O0000046,P0008,家电,36
I00000092,O0000046,P0024,其他行业,38
I00000093,O0000047,P0001,家电,74
I00000094,O0000047,P0024,其他行业,55
I00000095,O0000048,P0005,家电,58
I00000096,O0000048,P0023,其他行业,70
I00000097,O0000049,P0001,家电,45
I00000098,O0000049,P0024,其他行业,29
I00000099,O0000050,P0009,家电,53
I00000100,O0000050,P0023,其他行业,48
I00000101,O0000051,P0006,家电,38
I00000102,O0000051,P0023,其他行业,69
I00000103,O0000052,P0003,家电,42
I00000104,O0000052,P0024,其他行业,68
I00000105,O0000053,P0012,家电,42
I00000106,O0000053,P0013,其他行业,49
I00000107,O0000054,P0007,家电,60
I00000108,O0000054,P0022,其他行业,39
I00000109,O0000055,P0003,家电,41
I00000110,O0000055,P0022,其他行业,67
I00000111,O0000056,P0004,家电,38
I00000112,O0000056,P0014,其他行业,39
I00000113,O0000057,P0012,家电,45
I00000114,O0000057,P0021,其他行业,82
I00000115,O0000058,P0004,家电,45
I00000116,O0000058,P0018,其他行业,64
I00000117,O0000059,P0007,家电,62
I00000118,O0000059,P0016,其他行业,67
I00000119,O0000060,P0011,家电,48
I00000120,O0000060,P0018,其他行业,64
I00000121,O0000061,P0011,家电,70
I00000122,O0000061,P0019,其他行业,51
I00000123,O0000062,P0002,家电,44
I00000124,O0000062,P0013,其他行业,40
I00000125,O0000063,P0011,家电,39
I00000126,O0000063,P0022,其他行业,39
I00000127,O0000064,P0009,家电,47
I00000128,O0000064,P0017,其他行业,27
I00000129,O0000065,P0001,家电,48
I00000130,O0000065,P0013,其他行业,50
I00000131,O0000066,P0011,家电,56
I00000132,O0000066,P0019,其他行业,54
I00000133,O0000067,P0010,家电,74
I00000134,O0000067,P0019,其他行业,49
I00000135,O0000068,P0010,家电,44
I00000136,O0000068,P0024,其他行业,30
I00000137,O0000069,P0011,家电,50
I00000138,O0000069,P0023,其他行业,65
I00000139,O0000070,P0008,家电,62
I00000140,O0000070,P0019,其他行业,58
I00000141,O0000071,P0002,家电,40
I00000142,O0000071,P0022,其他行业,59
I00000143,O0000072,P0009,家电,47
I00000144,O0000072,P0015,其他行业,72
I00000145,O0000073,P0009,家电,41
I00000146,O0000073,P0016,其他行业,35
I00000147,O0000074,P0002,家电,46
I00000148,O0000074,P0020,其他行业,67
I00000149,O0000075,P0005,家电,46
I00000150,O0000075,P0013,其他行业,35
I00000151,O0000076,P0003,家电,41
I00000152,O0000076,P0013,其他行业,74
I00000153,O0000077,P0003,家电,47
I00000154,O0000077,P0024,其他行业,45
I00000155,O0000078,P0011,家电,73
I00000156,O0000078,P0022,其他行业,51
I00000157,O0000079,P0003,家电,80
I00000158,O0000079,P0013,其他行业,49
I00000159,O0000080,P0005,家电,40
I00000160,O0000080,P0021,其他行业,59
I00000161,O0000081,P0005,家电,58
I00000162,O0000081,P0021,其他行业,48
I00000163,O0000082,P0006,家电,49
I00000164,O0000082,P0013,其他行业,41
I00000165,O0000083,P0011,家电,74
I00000166,O0000083,P0019,其他行业,51
I00000167,O0000084,P0001,家电,53
I00000168,O0000084,P0013,其他行业,32
I00000169,O0000085,P0003,家电,76
I00000170,O0000085,P0015,其他行业,44
I00000171,O0000086,P0011,家电,38
I00000172,O0000086,P0014,其他行业,64
I00000173,O0000087,P0009,家电,56
I00000174,O0000087,P0020,其他行业,40
I00000175,O0000088,P0004,家电,74
I00000176,O0000088,P0024,其他行业,47
I00000177,O0000089,P0002,家电,47
I00000178,O0000089,P0019,其他行业,57
I00000179,O0000090,P0005,家电,51
I00000180,O0000090,P0020,其他行业,28
I00000181,O0000091,P0008,家电,53
I00000182,O0000091,P0024,其他行业,48
I00000183,O0000092,P0004,家电,40
I00000184,O0000092,P0021,其他行业,44
I00000185,O0000093,P0003,家电,60
I00000186,O0000093,P0017,其他行业,56
I00000187,O0000094,P0010,家电,52
I00000188,O0000094,P0015,其他行业,60
I00000189,O0000095,P0005,家电,49
I00000190,O0000095,P0013,其他行业,75
I00000191,O0000096,P0010,家电,41
I00000192,O0000096,P0015,其他行业,60
I00000193,O0000097,P0009,家电,37
I00000194,O0000097,P0023,其他行业,33
I00000195,O0000098,P0012,家电,60
I00000196,O0000098,P0018,其他行业,68
I00000197,O0000099,P0005,家电,42
I00000198,O0000099,P0021,其他行业,33
I00000199,O0000100,P0004,家电,82
I00000200,O0000100,P0016,其他行业,46
I00000201,O0000101,P0009,家电,50
I00000202,O0000101,P0013,其他行业,50
I00000203,O0000102,P0003,家电,77
I00000204,O0000102,P0014,其他行业,45
I00000205,O0000103,P0003,家电,39
I00000206,O0000103,P0017,其他行业,43
I00000207,O0000104,P0011,家电,67
I00000208,O0000104,P0018,其他行业,47
I00000209,O0000105,P0001,家电,33
I00000210,O0000105,P0020,其他行业,46
I00000211,O0000106,P0012,家电,53
I00000212,O0000106,P0015,其他行业,63
I00000213,O0000107,P0005,家电,57
I00000214,O0000107,P0024,其他行业,44
I00000215,O0000108,P0004,家电,46
I00000216,O0000108,P0016,其他行业,36
I00000217,O0000109,P0003,家电,52
I00000218,O0000109,P0022,其他行业,58
I00000219,O0000110,P0006,家电,51
I00000220,O0000110,P0013,其他行业,32
I00000221,O0000111,P0005,家电,50
I00000222,O0000111,P0021,其他行业,33
I00000223,O0000112,P0011,家电,73
I00000224,O0000112,P0024,其他行业,55
I00000225,O0000113,P0002,家电,36
I00000226,O0000113,P0020,其他行业,45
I00000227,O0000114,P0007,家电,77
I00000228,O0000114,P0023,其他行业,42
I00000229,O0000115,P0002,家电,33
I00000230,O0000115,P0016,其他行业,52
I00000231,O0000116,P0009,家电,37
I00000232,O0000116,P0015,其他行业,39
I00000233,O0000117,P0010,家电,51
I00000234,O0000117,P0013,其他行业,44
I00000235,O0000118,P0002,家电,43
I00000236,O0000118,P0016,其他行业,39
I00000237,O0000119,P0003,家电,58
I00000238,O0000119,P0017,其他行业,57
I00000239,O0000120,P0007,家电,68
I00000240,O0000120,P0015,其他行业,45
I00000241,O0000121,P0010,家电,27
I00000242,O0000121,P0015,其他行业,49
I00000243,O0000122,P0006,家电,33
I00000244,O0000122,P0015,其他行业,49
I00000245,O0000123,P0011,家电,52
I00000246,O0000123,P0021,其他行业,28
I00000247,O0000124,P0010,家电,28
I00000248,O0000124,P0021,其他行业,45
I00000249,O0000125,P0010,家电,45
I00000250,O0000125,P0014,其他行业,73
I00000251,O0000126,P0008,家电,47
I00000252,O0000126,P0017,其他行业,55
I00000253,O0000127,P0012,家电,62
I00000254,O0000127,P0015,其他行业,48
I00000255,O0000128,P0011,家电,47
I00000256,O0000128,P0019,其他行业,49
I00000257,O0000129,P0011,家电,52
I00000258,O0000129,P0014,其他行业,76
I00000259,O0000130,P0005,家电,43
I00000260,O0000130,P0017,其他行业,77
I00000261,O0000131,P0010,家电,44
I00000262,O0000131,P0021,其他行业,64
I00000263,O0000132,P0004,家电,50
I00000264,O0000132,P0015,其他行业,68
I00000265,O0000133,P0001,家电,61
I00000266,O0000133,P0022,其他行业,68
I00000267,O0000134,P0010,家电,56
I00000268,O0000134,P0016,其他行业,41
I00000269,O0000135,P0005,家电,30
I00000270,O0000135,P0013,其他行业,51
I00000271,O0000136,P0005,家电,27
I00000272,O0000136,P0022,其他行业,49
I00000273,O0000137,P0004,家电,55
I00000274,O0000137,P0017,其他行业,32
I00000275,O0000138,P0004,家电,45
I00000276,O0000138,P0018,其他行业,38
I00000277,O0000139,P0009,家电,35
I00000278,O0000139,P0018,其他行业,39
I00000279,O0000140,P0005,家电,45
I00000280,O0000140,P0024,其他行业,32
I00000281,O0000141,P0009,家电,42
I00000282,O0000141,P0016,其他行业,67
I00000283,O0000142,P0004,家电,48
I00000284,O0000142,P0023,其他行业,47
I00000285,O0000143,P0011,家电,33
I00000286,O0000143,P0024,其他行业,61
I00000287,O0000144,P0010,家电,57
I00000288,O0000144,P0013,其他行业,70
I00000289,O0000145,P0012,家电,64
I00000290,O0000145,P0017,其他行业,42
I00000291,O0000146,P0004,家电,41
I00000292,O0000146,P0013,其他行业,70
I00000293,O0000147,P0002,家电,81
I00000294,O0000147,P0023,其他行业,48
I00000295,O0000148,P0011,家电,62
I00000296,O0000148,P0020,其他行业,62
I00000297,O0000149,P0008,家电,65
I00000298,O0000149,P0015,其他行业,65
I00000299,O0000150,P0010,家电,41
I00000300,O0000150,P0017,其他行业,48
I00000301,O0000151,P0005,家电,45
I00000302,O0000151,P0017,其他行业,42
I00000303,O0000152,P0002,家电,41
I00000304,O0000152,P0017,其他行业,29
I00000305,O0000153,P0001,家电,38
I00000306,O0000153,P0018,其他行业,42
I00000307,O0000154,P0011,家电,56
I00000308,O0000154,P0017,其他行业,71
I00000309,O0000155,P0006,家电,73
I00000310,O0000155,P0014,其他行业,43
I00000311,O0000156,P0006,家电,57
I00000312,O0000156,P0023,其他行业,59
I00000313,O0000157,P0009,家电,39
I00000314,O0000157,P0024,其他行业,64
I00000315,O0000158,P0005,家电,52
I00000316,O0000158,P0022,其他行业,70
I00000317,O0000159,P0010,家电,52
I00000318,O0000159,P0015,其他行业,57
I00000319,O0000160,P0010,家电,33
I00000320,O0000160,P0024,其他行业,40
I00000321,O0000161,P0006,家电,38
I00000322,O0000161,P0017,其他行业,60
I00000323,O0000162,P0005,家电,47
I00000324,O0000162,P0013,其他行业,39
I00000325,O0000163,P0010,家电,68
I00000326,O0000163,P0016,其他行业,51
I00000327,O0000164,P0005,家电,45
I00000328,O0000164,P0021,其他行业,71
I00000329,O0000165,P0006,家电,56
I00000330,O0000165,P0022,其他行业,71
I00000331,O0000166,P0005,家电,46
I00000332,O0000166,P0016,其他行业,41
I00000333,O0000167,P0003,家电,50
I00000334,O0000167,P0024,其他行业,37
I00000335,O0000168,P0012,家电,69
I00000336,O0000168,P0016,其他行业,42
I00000337,O0000169,P0006,家电,26
I00000338,O0000169,P0020,其他行业,47
I00000339,O0000170,P0005,家电,39
I00000340,O0000170,P0023,其他行业,70
I00000341,O0000171,P0009,家电,44
I00000342,O0000171,P0021,其他行业,74
I00000343,O0000172,P0007,家电,46
I00000344,O0000172,P0014,其他行业,39
I00000345,O0000173,P0008,家电,38
I00000346,O0000173,P0020,其他行业,54
I00000347,O0000174,P0006,家电,47
I00000348,O0000174,P0019,其他行业,31
I00000349,O0000175,P0011,家电,72
I00000350,O0000175,P0017,其他行业,49
I00000351,O0000176,P0010,家电,56
I00000352,O0000176,P0016,其他行业,41
I00000353,O0000177,P0003,家电,43
I00000354,O0000177,P0017,其他行业,36
I00000355,O0000178,P0004,家电,61
I00000356,O0000178,P0015,其他行业,44
I00000357,O0000179,P0012,家电,51
I00000358,O0000179,P0024,其他行业,60
I00000359,O0000180,P0002,家电,34
I00000360,O0000180,P0013,其他行业,56
I00000361,O0000181,P0012,家电,53
I00000362,O0000181,P0023,其他行业,53
I00000363,O0000182,P0001,家电,71
I00000364,O0000182,P0019,其他行业,51
I00000365,O0000183,P0001,家电,70
I00000366,O0000183,P0015,其他行业,58
I00000367,O0000184,P0004,家电,67
I00000368,O0000184,P0018,其他行业,49
I00000369,O0000185,P0012,家电,33
I00000370,O0000185,P0018,其他行业,46
I00000371,O0000186,P0006,家电,49
I00000372,O0000186,P0017,其他行业,79
I00000373,O0000187,P0009,家电,68
I00000374,O0000187,P0016,其他行业,40
I00000375,O0000188,P0004,家电,61
I00000376,O0000188,P0024,其他行业,42
I00000377,O0000189,P0011,家电,39
I00000378,O0000189,P0013,其他行业,45
I00000379,O0000190,P0009,家电,56
I00000380,O0000190,P0022,其他行业,37
I00000381,O0000191,P0002,家电,50
I00000382,O0000191,P0024,其他行业,45
I00000383,O0000192,P0007,家电,49
I00000384,O0000192,P0021,其他行业,57
I00000385,O0000193,P0009,家电,56
I00000386,O0000193,P0015,其他行业,51
I00000387,O0000194,P0005,家电,61
I00000388,O0000194,P0024,其他行业,38
I00000389,O0000195,P0010,家电,38
I00000390,O0000195,P0020,其他行业,65
I00000391,O0000196,P0001,家电,67
I00000392,O0000196,P0021,其他行业,44
I00000393,O0000197,P0001,家电,46
I00000394,O0000197,P0020,其他行业,58
I00000395,O0000198,P0008,家电,32
I00000396,O0000198,P0021,其他行业,43
I00000397,O0000199,P0010,家电,38
I00000398,O0000199,P0018,其他行业,33
I00000399,O0000200,P0009,家电,66
I00000400,O0000200,P0016,其他行业,56
I00000401,O0000201,P0008,家电,73
I00000402,O0000201,P0023,其他行业,45
I00000403,O0000202,P0011,家电,42
I00000404,O0000202,P0013,其他行业,50
I00000405,O0000203,P0003,家电,52
I00000406,O0000203,P0016,其他行业,49
I00000407,O0000204,P0001,家电,68
I00000408,O0000204,P0017,其他行业,41
I00000409,O0000205,P0003,家电,41
I00000410,O0000205,P0014,其他行业,29
I00000411,O0000206,P0010,家电,63
I00000412,O0000206,P0016,其他行业,36
I00000413,O0000207,P0002,家电,52
I00000414,O0000207,P0024,其他行业,41
I00000415,O0000208,P0005,家电,61
I00000416,O0000208,P0016,其他行业,68
I00000417,O0000209,P0012,家电,52
I00000418,O0000209,P0016,其他行业,28
I00000419,O0000210,P0008,家电,39
I00000420,O0000210,P0018,其他行业,44
I00000421,O0000211,P0011,家电,46
I00000422,O0000211,P0024,其他行业,80
I00000423,O0000212,P0007,家电,44
I00000424,O0000212,P0023,其他行业,67
I00000425,O0000213,P0002,家电,35
I00000426,O0000213,P0019,其他行业,64
I00000427,O0000214,P0001,家电,31
I00000428,O0000214,P0023,其他行业,45
I00000429,O0000215,P0005,家电,45
I00000430,O0000215,P0014,其他行业,40
I00000431,O0000216,P0009,家电,50
I00000432,O0000216,P0022,其他行业,31
I00000433,O0000217,P0011,家电,74
I00000434,O0000217,P0015,其他行业,44
I00000435,O0000218,P0011,家电,43
I00000436,O0000218,P0022,其他行业,43
I00000437,O0000219,P0006,家电,61
I00000438,O0000219,P0015,其他行业,44
I00000439,O0000220,P0003,家电,39
I00000440,O0000220,P0017,其他行业,45
I00000441,O0000221,P0010,家电,56
I00000442,O0000221,P0015,其他行业,65
I00000443,O0000222,P0003,家电,40
I00000444,O0000222,P0013,其他行业,33
I00000445,O0000223,P0007,家电,62
I00000446,O0000223,P0016,其他行业,38
I00000447,O0000224,P0011,家电,51
I00000448,O0000224,P0017,其他行业,45
I00000449,O0000225,P0011,家电,53
I00000450,O0000225,P0016,其他行业,66
I00000451,O0000226,P0012,家电,76
I00000452,O0000226,P0022,其他行业,41
I00000453,O0000227,P0001,家电,62
I00000454,O0000227,P0022,其他行业,44
I00000455,O0000228,P0004,家电,77
I00000456,O0000228,P0018,其他行业,51
I00000457,O0000229,P0006,家电,40
I00000458,O0000229,P0016,其他行业,52
I00000459,O0000230,P0006,家电,56
I00000460,O0000230,P0016,其他行业,44
I00000461,O0000231,P0008,家电,49
I00000462,O0000231,P0018,其他行业,71
I00000463,O0000232,P0002,家电,59
I00000464,O0000232,P0022,其他行业,63
I00000465,O0000233,P0005,家电,40
I00000466,O0000233,P0023,其他行业,61
I00000467,O0000234,P0012,家电,42
I00000468,O0000234,P0022,其他行业,47
I00000469,O0000235,P0009,家电,63
I00000470,O0000235,P0020,其他行业,49
I00000471,O0000236,P0007,家电,30
I00000472,O0000236,P0024,其他行业,48
I00000473,O0000237,P0005,家电,72
I00000474,O0000237,P0024,其他行业,48
I00000475,O0000238,P0004,家电,58
I00000476,O0000238,P0014,其他行业,67
I00000477,O0000239,P0007,家电,46
I00000478,O0000239,P0017,其他行业,42
I00000479,O0000240,P0004,家电,73
I00000480,O0000240,P0022,其他行业,51
I00000481,O0000241,P0005,家电,51
I00000482,O0000241,P0020,其他行业,59
I00000483,O0000242,P0009,家电,55
I00000484,O0000242,P0023,其他行业,63
I00000485,O0000243,P0010,家电,34
I00000486,O0000243,P0014,其他行业,48
I00000487,O0000244,P0008,家电,56
I00000488,O0000244,P0017,其他行业,33
I00000489,O0000245,P0012,家电,49
I00000490,O0000245,P0013,其他行业,61
I00000491,O0000246,P0011,家电,30
I00000492,O0000246,P0014,其他行业,46
I00000493,O0000247,P0010,家电,62
I00000494,O0000247,P0019,其他行业,48
I00000495,O0000248,P0004,家电,43
I00000496,O0000248,P0022,其他行业,29
I00000497,O0000249,P0010,家电,30
I00000498,O0000249,P0017,其他行业,54
I00000499,O0000250,P0010,家电,44
I00000500,O0000250,P0017,其他行业,75
I00000501,O0000251,P0004,家电,40
I00000502,O0000251,P0023,其他行业,62
I00000503,O0000252,P0012,家电,53
I00000504,O0000252,P0019,其他行业,61
I00000505,O0000253,P0001,家电,40
I00000506,O0000253,P0013,其他行业,30
I00000507,O0000254,P0010,家电,51
I00000508,O0000254,P0015,其他行业,69
I00000509,O0000255,P0002,家电,37
I00000510,O0000255,P0023,其他行业,54
I00000511,O0000256,P0001,家电,49
I00000512,O0000256,P0022,其他行业,56
I00000513,O0000257,P0010,家电,53
I00000514,O0000257,P0016,其他行业,35
I00000515,O0000258,P0009,家电,61
I00000516,O0000258,P0016,其他行业,58
I00000517,O0000259,P0006,家电,55
I00000518,O0000259,P0016,其他行业,54
I00000519,O0000260,P0012,家电,67
I00000520,O0000260,P0017,其他行业,36
I00000521,O0000261,P0005,家电,47
I00000522,O0000261,P0017,其他行业,83
I00000523,O0000262,P0005,家电,29
I00000524,O0000262,P0021,其他行业,46
I00000525,O0000263,P0006,家电,41
I00000526,O0000263,P0016,其他行业,50
I00000527,O0000264,P0010,家电,61
I00000528,O0000264,P0014,其他行业,38
I00000529,O0000265,P0005,家电,66
I00000530,O0000265,P0021,其他行业,61
I00000531,O0000266,P0005,家电,55
I00000532,O0000266,P0019,其他行业,73
I00000533,O0000267,P0008,家电,31
I00000534,O0000267,P0018,其他行业,48
I00000535,O0000268,P0008,家电,70
I00000536,O0000268,P0022,其他行业,43
I00000537,O0000269,P0008,家电,32
I00000538,O0000269,P0018,其他行业,48
I00000539,O0000270,P0009,家电,34
I00000540,O0000270,P0022,其他行业,38
I00000541,O0000271,P0004,家电,65
I00000542,O0000271,P0020,其他行业,53
I00000543,O0000272,P0006,家电,58
I00000544,O0000272,P0017,其他行业,49
I00000545,O0000273,P0010,家电,39
I00000546,O0000273,P0018,其他行业,43
I00000547,O0000274,P0010,家电,36
I00000548,O0000274,P0022,其他行业,58
I00000549,O0000275,P0001,家电,40
I00000550,O0000275,P0013,其他行业,63
I00000551,O0000276,P0005,家电,65
I00000552,O0000276,P0013,其他行业,46
I00000553,O0000277,P0004,家电,54
I00000554,O0000277,P0023,其他行业,47
I00000555,O0000278,P0012,家电,68
I00000556,O0000278,P0023,其他行业,59
I00000557,O0000279,P0012,家电,44
I00000558,O0000279,P0016,其他行业,44
I00000559,O0000280,P0012,家电,37
I00000560,O0000280,P0020,其他行业,60
I00000561,O0000281,P0010,家电,49
I00000562,O0000281,P0022,其他行业,54
I00000563,O0000282,P0012,家电,32
I00000564,O0000282,P0020,其他行业,41
I00000565,O0000283,P0006,家电,50
I00000566,O0000283,P0021,其他行业,44
I00000567,O0000284,P0006,家电,66
I00000568,O0000284,P0020,其他行业,41
I00000569,O0000285,P0012,家电,41
I00000570,O0000285,P0020,其他行业,57
I00000571,O0000286,P0011,家电,56
I00000572,O0000286,P0018,其他行业,44
I00000573,O0000287,P0008,家电,49
I00000574,O0000287,P0022,其他行业,40
I00000575,O0000288,P0006,家电,74
I00000576,O0000288,P0018,其他行业,42
I00000577,O0000289,P0005,家电,50
I00000578,O0000289,P0018,其他行业,54
I00000579,O0000290,P0006,家电,64
I00000580,O0000290,P0022,其他行业,47
I00000581,O0000291,P0012,家电,28
I00000582,O0000291,P0023,其他行业,46
I00000583,O0000292,P0012,家电,64
I00000584,O0000292,P0019,其他行业,62
I00000585,O0000293,P0006,家电,48
I00000586,O0000293,P0019,其他行业,37
I00000587,O0000294,P0010,家电,36
I00000588,O0000294,P0015,其他行业,38
I00000589,O0000295,P0007,家电,51
I00000590,O0000295,P0015,其他行业,41
I00000591,O0000296,P0003,家电,35
I00000592,O0000296,P0017,其他行业,36
I00000593,O0000297,P0012,家电,40
I00000594,O0000297,P0024,其他行业,61
I00000595,O0000298,P0001,家电,34
I00000596,O0000298,P0021,其他行业,49
I00000597,O0000299,P0006,家电,54
I00000598,O0000299,P0023,其他行业,36
I00000599,O0000300,P0006,家电,44
I00000600,O0000300,P0020,其他行业,37
I00000601,O0000301,P0003,家电,654
I00000602,O0000302,P0002,家电,85
I00000603,O0000303,P0009,家电,128
I00000604,O0000304,P0007,家电,140
I00000605,O0000305,P0001,家电,90
I00000606,O0000306,P0006,家电,84
I00000607,O0000307,P0009,家电,66
I00000608,O0000308,P0011,家电,73
I00000609,O0000309,P0007,家电,99
I00000610,O0000310,P0012,家电,100
I00000611,O0000311,P0007,家电,95
I00000612,O0000312,P0012,家电,113
I00000613,O0000313,P0001,家电,77
I00000614,O0000314,P0006,家电,102
I00000615,O0000315,P0004,家电,116
I00000616,O0000316,P0011,家电,113
I00000617,O0000317,P0004,家电,70
I00000618,O0000318,P0007,家电,81
I00000619,O0000319,P0001,家电,88
I00000620,O0000320,P0006,家电,99
I00000621,O0000321,P0006,家电,75
I00000622,O0000322,P0006,家电,85
I00000623,O0000323,P0003,家电,94
I00000624,O0000324,P0003,家电,83
I00000625,O0000325,P0005,家电,90
I00000626,O0000326,P0001,家电,124
I00000627,O0000327,P0010,家电,97
I00000628,O0000328,P0006,家电,94
I00000629,O0000329,P0010,家电,107
I00000630,O0000330,P0006,家电,127
I00000631,O0000331,P0005,家电,74
I00000632,O0000332,P0005,家电,135
I00000633,O0000333,P0005,家电,126
I00000634,O0000334,P0006,家电,89
I00000635,O0000335,P0005,家电,98
I00000636,O0000336,P0002,家电,83
I00000637,O0000337,P0002,家电,88
I00000638,O0000338,P0010,家电,95
I00000639,O0000339,P0008,家电,76
I00000640,O0000340,P0007,家电,71
I00000641,O0000341,P0010,家电,119
I00000642,O0000342,P0001,家电,69
I00000643,O0000343,P0007,家电,116
I00000644,O0000344,P0006,家电,127
I00000645,O0000345,P0003,家电,69
I00000646,O0000346,P0004,家电,127
I00000647,O0000347,P0012,家电,65
I00000648,O0000348,P0001,家电,60
I00000649,O0000349,P0008,家电,136
I00000650,O0000350,P0005,家电,135
I00000651,O0000351,P0004,家电,96
I00000652,O0000352,P0005,家电,128
I00000653,O0000353,P0004,家电,92
I00000654,O0000354,P0003,家电,114
I00000655,O0000355,P0009,家电,132
I00000656,O0000356,P0010,家电,71
I00000657,O0000357,P0001,家电,81
I00000658,O0000358,P0002,家电,96
I00000659,O0000359,P0002,家电,84
I00000660,O0000360,P0008,家电,91
I00000661,O0000361,P0009,家电,82
I00000662,O0000362,P0012,家电,95
I00000663,O0000363,P0011,家电,130
I00000664,O0000364,P0010,家电,63
I00000665,O0000365,P0006,家电,83
I00000666,O0000366,P0003,家电,79
I00000667,O0000367,P0011,家电,64
I00000668,O0000368,P0007,家电,139
I00000669,O0000369,P0011,家电,119
I00000670,O0000370,P0001,家电,134
I00000671,O0000371,P0006,家电,109
I00000672,O0000372,P0011,家电,60
I00000673,O0000373,P0006,家电,123
I00000674,O0000374,P0012,家电,67
I00000675,O0000375,P0004,家电,83
I00000676,O0000376,P0001,家电,68
I00000677,O0000377,P0012,家电,131
I00000678,O0000378,P0002,家电,106
I00000679,O0000379,P0002,家电,101
I00000680,O0000380,P0003,家电,121
I00000681,O0000381,P0009,家电,64
I00000682,O0000382,P0008,家电,126
I00000683,O0000383,P0007,家电,97
I00000684,O0000384,P0010,家电,124
I00000685,O0000385,P0010,家电,126
I00000686,O0000386,P0011,家电,128
I00000687,O0000387,P0001,家电,82
I00000688,O0000388,P0010,家电,136
I00000689,O0000389,P0009,家电,81
I00000690,O0000390,P0012,家电,74
I00000691,O0000391,P0002,家电,137
I00000692,O0000392,P0004,家电,115
I00000693,O0000393,P0012,家电,90
I00000694,O0000394,P0002,家电,116
I00000695,O0000395,P0011,家电,130
I00000696,O0000396,P0008,家电,92
I00000697,O0000397,P0005,家电,90
I00000698,O0000398,P0012,家电,93
I00000699,O0000399,P0006,家电,122
I00000700,O0000400,P0011,家电,129
I00000701,O0000401,P0003,家电,88
I00000702,O0000402,P0008,家电,134
I00000703,O0000403,P0009,家电,137
